Register_Number,Name,Total_no_of_classes,No_of_classes_present
1,AAA,45,45
2,BBB,45,44
3,CCC,45,43
4,DDD,45,42
5,EEE,45,41
6,FFF,45,45
7,GGG,45,39
8,HHH,45,39
9,III,45,38
10,JJJ,45,45
11,KKK,45,28
12,LLL,45,27
13,MMM,45,43
14,NNN,45,43
15,OOO,45,45
16,PPP,45,36
17,QQQ,45,37
18,RRR,45,37
19,SSS,45,38
20,TTT,45,44
21,UUU,45,35
22,VVV,45,44
23,WWW,45,40
24,XXX,45,41
25,YYY,45,42
26,ZZZ,45,39
27,ABB,45,38
28,ACC,45,39
29,ADD,45,40
30,AEE,45,41
31,AFF,45,42
32,AGG,45,43
33,AHH,45,45
34,AII,45,34
35,AJJ,45,35
36,AKK,45,37
37,ALL,45,39
38,AMM,45,35
39,ANN,45,45
40,AOO,45,41
41,APP,45,42
42,AQQ,45,40
43,ARR,45,39
44,ASS,45,37
45,ATT,45,36
46,AUU,45,40
47,AVV,45,41
48,AWW,45,39
49,AXX,45,42
50,AZZ,45,39
