Register_Number,Name,Total_no_of_classes,No_of_classes_present
1,AAA,45,45
2,BBB,45,43
3,CCC,45,43
4,DDD,45,42
5,EEE,45,39
6,FFF,45,39
7,GGG,45,40
8,HHH,45,40
9,III,45,41
10,JJJ,45,43
11,KKK,45,43
12,LLL,45,42
13,MMM,45,44
14,NNN,45,45
15,OOO,45,39
16,PPP,45,38
17,QQQ,45,39
18,RRR,45,37
19,SSS,45,37
20,TTT,45,45
21,UUU,45,43
22,VVV,45,44
23,WWW,45,43
24,XXX,45,38
25,YYY,45,39
26,ZZZ,45,38
27,ABB,45,39
28,ACC,45,40
29,ADD,45,45
30,AEE,45,39
31,AFF,45,38
32,AGG,45,35
33,AHH,45,39
34,AII,45,38
35,AJJ,45,40
36,AKK,45,40
37,ALL,45,41
38,AMM,45,39
39,ANN,45,38
40,AOO,45,37
41,APP,45,45
42,AQQ,45,41
43,ARR,45,43
44,ASS,45,44
45,ATT,45,35
46,AUU,45,43
47,AVV,45,42
48,AWW,45,42
49,AXX,45,41
50,AZZ,45,39
