Register_Number,Name,Total_no_of_classes,No_of_classes_present
1,AAA,45,40
2,BBB,45,41
3,CCC,45,40
4,DDD,45,45
5,EEE,45,38
6,FFF,45,39
7,GGG,45,37
8,HHH,45,40
9,III,45,35
10,JJJ,45,45
11,KKK,45,41
12,LLL,45,42
13,MMM,45,45
14,NNN,45,45
15,OOO,45,40
16,PPP,45,38
17,QQQ,45,41
18,RRR,45,43
19,SSS,45,38
20,TTT,45,45
21,UUU,45,44
22,VVV,45,40
23,WWW,45,39
24,XXX,45,38
25,YYY,45,37
26,ZZZ,45,40
27,ABB,45,35
28,ACC,45,43
29,ADD,45,43
30,AEE,45,45
31,AFF,45,43
32,AGG,45,44
33,AHH,45,39
34,AII,45,39
35,AJJ,45,38
36,AKK,45,39
37,ALL,45,40
38,AMM,45,40
39,ANN,45,40
40,AOO,45,40
41,APP,45,39
42,AQQ,45,38
43,ARR,45,41
44,ASS,45,38
45,ATT,45,38
46,AUU,45,40
47,AVV,45,41
48,AWW,45,44
49,AXX,45,41
50,AZZ,45,39
