Register_Number,Name,Total_no_of_classes,No_of_classes_present
1,AAA,45,43
2,BBB,45,41
3,CCC,45,36
4,DDD,45,37
5,EEE,45,41
6,FFF,45,39
7,GGG,45,39
8,HHH,45,30
9,III,45,31
10,JJJ,45,32
11,KKK,45,33
12,LLL,45,36
13,MMM,45,45
14,NNN,45,37
15,OOO,45,32
16,PPP,45,40
17,QQQ,45,37
18,RRR,45,38
19,SSS,45,32
20,TTT,45,45
21,UUU,45,33
22,VVV,45,35
23,WWW,45,36
24,XXX,45,38
25,YYY,45,41
26,ZZZ,45,43
27,ABB,45,34
28,ACC,45,43
29,ADD,45,34
30,AEE,45,35
31,AFF,45,39
32,AGG,45,35
33,AHH,45,39
34,AII,45,33
35,AJJ,45,44
36,AKK,45,41
37,ALL,45,40
38,AMM,45,37
39,ANN,45,31
40,AOO,45,40
41,APP,45,44
42,AQQ,45,40
43,ARR,45,33
44,ASS,45,35
45,ATT,45,38
46,AUU,45,39
47,AVV,45,37
48,AWW,45,44
49,AXX,45,39
50,AZZ,45,43
